Epoch, Step, Loss, Lr, Time
1, 1, 4.8645, 0.000000, 43.44
1, 21, 4.8615, 0.000001, 134.40
1, 41, 4.8575, 0.000002, 229.15
1, 61, 4.8317, 0.000003, 318.59
1, 81, 4.8654, 0.000005, 407.56
1, 101, 4.8564, 0.000006, 496.41
1, 121, 4.8358, 0.000007, 581.22
1, 141, 4.8114, 0.000008, 669.66
1, 161, 4.8094, 0.000009, 748.97
1, 181, 4.8132, 0.000010, 836.55
1, 201, 4.8349, 0.000011, 916.87
1, 221, 4.7906, 0.000013, 1003.57
1, 241, 4.7620, 0.000014, 1087.15
1, 261, 4.8142, 0.000015, 1164.05
1, 281, 4.7900, 0.000016, 1260.00
1, 301, 4.7500, 0.000017, 1326.91
1, 321, 4.7256, 0.000018, 1405.39
1, 341, 4.7618, 0.000019, 1475.94
1, 361, 4.8174, 0.000021, 1561.10
1, 381, 4.7308, 0.000022, 1628.27
1, 401, 4.7392, 0.000023, 1708.76
1, 421, 4.7427, 0.000024, 1788.11
1, 441, 4.6993, 0.000025, 1859.78
1, 461, 4.7170, 0.000026, 1931.00
1, 481, 4.6256, 0.000028, 2001.10
1, 501, 4.6763, 0.000029, 2073.76
1, 521, 4.6369, 0.000030, 2139.47
1, 541, 4.6956, 0.000031, 2210.68
1, 561, 4.6664, 0.000032, 2285.90
1, 581, 4.6132, 0.000033, 2359.71
1, 601, 4.5203, 0.000034, 2436.91
1, 621, 4.5872, 0.000036, 2508.83
1, 641, 4.5884, 0.000037, 2569.47
1, 661, 4.5089, 0.000038, 2643.35
1, 681, 4.5565, 0.000039, 2708.45
1, 701, 4.6243, 0.000040, 2782.15
1, 721, 4.4415, 0.000041, 2854.72
1, 741, 4.6735, 0.000042, 2924.07
1, 761, 4.3622, 0.000044, 3001.50
1, 781, 4.6031, 0.000045, 3072.79
1, 801, 4.4941, 0.000046, 3143.43
1, 821, 4.4115, 0.000047, 3210.81
1, 841, 4.4567, 0.000048, 3272.66
1, 861, 4.4157, 0.000049, 3346.33
1, 881, 4.4819, 0.000050, 3413.30
1, 901, 4.3408, 0.000052, 3486.12
1, 921, 4.5304, 0.000053, 3557.98
1, 941, 4.4164, 0.000054, 3629.56
1, 961, 4.4135, 0.000055, 3700.64
1, 981, 4.2759, 0.000056, 3772.47
1, 1001, 4.3101, 0.000057, 3833.13
1, 1021, 4.4369, 0.000058, 3895.09
1, 1041, 4.3323, 0.000060, 3969.97
1, 1061, 4.3836, 0.000061, 4036.51
1, 1081, 4.2450, 0.000062, 4106.47
1, 1101, 4.2781, 0.000063, 4184.46
1, 1121, 4.4008, 0.000064, 4256.31
1, 1141, 4.3699, 0.000065, 4327.74
1, 1161, 4.1517, 0.000066, 4398.72
1, 1181, 4.2926, 0.000068, 4457.79
1, 1201, 4.1532, 0.000069, 4529.03
1, 1221, 4.3786, 0.000070, 4596.98
1, 1241, 4.4916, 0.000071, 4661.61
1, 1261, 4.1791, 0.000072, 4729.02
1, 1281, 4.1859, 0.000073, 4801.21
1, 1301, 4.0798, 0.000075, 4872.62
1, 1321, 4.0881, 0.000076, 4943.38
1, 1341, 4.3777, 0.000077, 5014.44
1, 1361, 4.2246, 0.000078, 5066.78
1, 1381, 4.3653, 0.000079, 5128.95
1, 1401, 4.2168, 0.000080, 5204.01
1, 1421, 4.1355, 0.000081, 5261.76
1, 1441, 4.1700, 0.000083, 5328.08
1, 1461, 4.0957, 0.000084, 5392.00
1, 1481, 4.1249, 0.000085, 5469.58
1, 1501, 4.1711, 0.000086, 5540.47
1, 1521, 4.0786, 0.000087, 5611.40
1, 1541, 4.0908, 0.000088, 5669.31
1, 1561, 4.0658, 0.000089, 5727.26
1, 1581, 4.1215, 0.000091, 5795.35
1, 1601, 4.2448, 0.000092, 5857.13
1, 1621, 4.2753, 0.000093, 5914.87
1, 1641, 4.0591, 0.000094, 5981.54
1, 1661, 4.3472, 0.000095, 6054.90
1, 1681, 4.0999, 0.000096, 6126.25
1, 1701, 4.0983, 0.000097, 6197.69
1, 1721, 4.0674, 0.000099, 6266.80
1, 1741, 4.0178, 0.000100, 6314.18
1, 1761, 3.9409, 0.000101, 6381.37
1, 1781, 4.0259, 0.000102, 6440.96
1, 1801, 4.0051, 0.000103, 6504.39
1, 1821, 3.9719, 0.000104, 6564.68
1, 1841, 4.0487, 0.000105, 6630.58
1, 1861, 3.9888, 0.000107, 6698.41
1, 1881, 4.1524, 0.000108, 6769.26
1, 1901, 4.0744, 0.000109, 6840.05
1, 1921, 4.1671, 0.000110, 6910.97
1, 1941, 4.1552, 0.000111, 6960.82
1, 1961, 3.9102, 0.000112, 7017.08
1, 1981, 4.0111, 0.000114, 7075.62
1, 2001, 4.0025, 0.000115, 7138.47
1, 2021, 4.1551, 0.000116, 7197.90
1, 2041, 3.9796, 0.000117, 7259.71
1, 2061, 3.9391, 0.000118, 7328.78
1, 2081, 3.9512, 0.000119, 7400.72
1, 2101, 4.0805, 0.000120, 7472.14
